Time	Lead II
9.05	-0.071472
9.06	-0.075943
9.07	-0.0544655
9.08	-0.0637788
9.09	-0.0402553
9.1	-0.0496596
9.11	-0.0615635
9.12	-0.0423888
9.13	-0.0511672
9.14	-0.0255974
9.15	-0.0186661
9.16	-0.00247887
9.17	0.024456
9.18	0.0335968
9.19	0.0831004
9.2	0.0849389
9.21	0.0790393
9.22	0.0912603
9.23	0.0791641
9.24	0.0936722
9.25	0.0673706
9.26	0.0336017
9.27	0.0187525
9.28	-0.0360936
9.29	-0.0563102
9.3	-0.0832876
9.31	-0.101724
9.32	-0.103985
9.33	-0.133095
9.34	-0.114851
9.35	-0.120179
9.36	-0.12513
9.37	-0.110401
9.38	-0.121524
9.39	-0.104392
9.4	-0.127675
9.41	-0.14404
9.42	-0.13174
9.43	-0.151342
9.44	-0.136778
9.45	-0.145676
9.46	-0.145646
9.47	-0.13316
9.48	-0.160447
9.49	-0.147904
9.5	-0.156068
9.51	-0.153156
9.52	-0.138455
9.53	-0.161889
9.54	-0.141905
9.55	-0.137979
9.56	-0.126797
9.57	-0.110349
9.58	-0.122576
9.59	-0.0855077
9.6	-0.0786716
9.61	-0.0712684
9.62	-0.0472516
9.63	-0.0698002
9.64	-0.067876
9.65	-0.0980105
9.66	-0.12344
9.67	-0.117893
9.68	-0.139824
9.69	-0.118949
9.7	-0.102644
9.71	0.00526939
9.72	0.31193
9.73	0.622025
9.74	0.688815
9.75	0.46477
9.76	0.175606
9.77	0.0138483
9.78	-0.0752399
9.79	-0.0773297
9.8	-0.0736122
9.81	-0.0738731
9.82	-0.0415371
9.83	-0.0389628
9.84	-0.0146554
9.85	-0.0117254
9.86	-0.016273
9.87	0.00828651
9.88	0.0038578
9.89	0.0383947
9.9	0.059286
9.91	0.0718679
9.92	0.104912
9.93	0.113956
9.94	0.159866
9.95	0.188264
9.96	0.200059
9.97	0.231847
9.98	0.222042
9.99	0.238933
10	0.221649
10.01	0.184916
10.02	0.172382
10.03	0.120749
10.04	0.106433
10.05	0.0807382
10.06	0.0489287
10.07	0.0580222
10.08	0.0327259
10.09	0.0382556
10.1	0.0237525
10.11	-0.00364437
10.12	-0.000548333
10.13	-0.0241917
10.14	-0.0072163
10.15	-0.00647446
10.16	-0.021685
10.17	-0.0169259
10.18	-0.0433702
10.19	-0.038674
10.2	-0.0492198
10.21	-0.0594306
10.22	-0.0461776
10.23	-0.0771167
10.24	-0.0703905
10.25	-0.0824997
10.26	-0.105837
10.27	-0.0983144
10.28	-0.116184
10.29	-0.104477
10.3	-0.106976
10.31	-0.113766
10.32	-0.0884416
10.33	-0.094633
10.34	-0.0598791
10.35	-0.0477246
10.36	-0.0622655
10.37	-0.0692785
10.38	-0.115659
10.39	-0.118716
10.4	-0.119182
10.41	-0.12738
10.42	-0.115357
10.43	-0.12249
10.44	-0.0674199
10.45	0.051481
10.46	0.346488
10.47	0.651884
10.48	0.617464
